date,ticker,open,high,low,close,vol_btc,vol_usd,usdt_supply,google_trends,sp500
11/8/2016,BTCUSD,706.82,716.45,704.16,712.57,4426.48,3141454.62,6951600,,2104.179932
11/7/2016,BTCUSD,716.83,718.2,701.35,706.82,4063.11,2875930.33,6951600,,2077.570068
11/6/2016,BTCUSD,706.9,719.83,705.86,716.83,2954.12,2103012.77,6951600,,2083.560059
11/5/2016,BTCUSD,705.7,707.99,697.72,706.9,2994.26,2110536.08,6951600,,2099.840088
11/4/2016,BTCUSD,688.93,708.33,683.8,705.7,5339.37,3732823.45,6951600,,2093.320068
11/3/2016,BTCUSD,735.5,746.16,672.06,688.93,10308.26,7355902.02,6951600,,2098.040039
11/2/2016,BTCUSD,731.16,735.5,720,735.5,4900.69,3560421.63,6951600,,2103.840088
11/1/2016,BTCUSD,699.68,737.5,695.74,731.16,6901.4,4982875.37,6951600,,2108.629883
10/31/2016,BTCUSD,697.65,709.68,681.01,699.68,4483.62,3133094.23,6951600,,2108.570068
10/30/2016,BTCUSD,717.9,718,692.04,697.65,3731.47,2630815.45,6951600,,2093.25
10/29/2016,BTCUSD,689.65,725.64,688.89,717.9,6530.77,4645482.26,6951600,,2067.639893
10/28/2016,BTCUSD,685.57,692.41,683.2,689.65,4606.4,3168209.12,6951600,,2079.649902
10/27/2016,BTCUSD,674,692.01,673.28,685.57,6528.32,4465307.96,6951600,,2102.149902
10/26/2016,BTCUSD,649.07,678,649.07,674,5829.22,3880856.87,6951600,,2114.149902
10/25/2016,BTCUSD,649.75,657.5,648.99,649.07,4776.95,3123004.67,6951600,,2119.209961
10/24/2016,BTCUSD,650.54,652.93,645.81,649.75,3631.3,2357292.33,6951600,,2128.280029
10/23/2016,BTCUSD,655,655.8,645.33,650.54,3031.31,1974217.69,6951600,,2126.639893
10/22/2016,BTCUSD,629.76,658,629.32,655,4535.76,2917971.98,6951600,,2124.290039
10/21/2016,BTCUSD,627.83,633.41,627.5,629.76,4216.33,2655664.75,6951600,,2107.399902
10/20/2016,BTCUSD,629.68,629.99,626.01,627.83,4066.85,2555702.95,6951600,,2108.949951
10/19/2016,BTCUSD,634.97,636.99,625.6,629.68,4495.62,2837107.66,6951600,,2099.600098
10/18/2016,BTCUSD,638.96,640,632.15,634.97,4078.62,2598863.48,6951600,,2076.620117
10/17/2016,BTCUSD,642.53,643.47,636.27,638.96,3898.77,2493378.81,6951600,,2051.310059
10/16/2016,BTCUSD,637.51,643.91,637.51,642.53,2461.82,1579872.51,6951600,,2046.680054
10/15/2016,BTCUSD,638,639.99,636,637.51,684.15,436821.9,6951600,,2081.340088
10/14/2016,BTCUSD,635.86,639.99,624.08,638,4411.45,2802101.88,6951600,,2068.76001
10/13/2016,BTCUSD,636.92,639.85,632,635.86,3867.82,2461476.07,6951600,,2076.780029
10/12/2016,BTCUSD,643.83,647.03,631.91,636.92,4493.04,2871479.02,6951600,,2077.419922
10/11/2016,BTCUSD,618.31,643.83,618.08,643.83,6127.14,3870511.76,6951600,,2063.110107
10/10/2016,BTCUSD,617.58,619.2,615.46,618.31,3855.57,2380713.85,6951600,,2057.639893
10/9/2016,BTCUSD,619.59,619.59,617,617.58,2294.62,1418866.11,6951600,,2101.48999
10/8/2016,BTCUSD,617.32,620,617.1,619.59,2798.31,1731592.52,6951600,,2102.310059
10/7/2016,BTCUSD,611.83,618.7,609.89,617.32,5081.4,3125858.04,6951600,,2108.580078
10/6/2016,BTCUSD,613.35,613.44,610.3,611.83,3868.36,2369472.57,6951600,,2124.199951
10/5/2016,BTCUSD,609.25,614.24,609.22,613.35,4427.98,2709843.55,6951600,,2122.850098
10/4/2016,BTCUSD,612.95,613.23,606.93,609.25,4959.1,3027774.37,6951600,,2109.98999
10/3/2016,BTCUSD,612.41,615.24,610.7,612.95,4282.64,2624932.5,6951600,,2121.23999
10/2/2016,BTCUSD,616,616,608.66,612.41,2898.23,1775073.57,6951600,,2100.439941
10/1/2016,BTCUSD,607.65,617.19,607.6,616,3487.91,2140381.54,6951600,,2096.290039
9/30/2016,BTCUSD,605.07,607.65,604.92,607.65,4626.36,2803982.57,6951600,,2084.429932
9/29/2016,BTCUSD,604.98,606.89,603.56,605.07,4060.87,2458807.98,6951600,,2094.110107
9/28/2016,BTCUSD,605.3,606,603.18,604.98,3650.93,2207748,6951600,,2108.860107
9/27/2016,BTCUSD,606.82,607.54,601.38,605.3,4356.03,2635285.4,6951600,,2105.199951
9/26/2016,BTCUSD,601.35,607.99,600.02,606.82,4220.87,2556428.88,6951600,,2080.149902
9/25/2016,BTCUSD,603.69,605.99,599.42,601.35,2528.64,1522742.99,6951600,,2079.280029
9/24/2016,BTCUSD,602.68,605.94,601.08,603.69,2661.79,1607181.22,6951600,,2092.830078
9/23/2016,BTCUSD,595.25,603.3,595.14,602.68,3773.33,2262379.54,6951600,,2095.840088
9/22/2016,BTCUSD,596.95,598.54,594.78,595.25,3983.13,2376886.2,6951600,,2114.070068
9/21/2016,BTCUSD,608.98,609.92,592.63,596.95,5205.29,3115266.96,6951600,,2109.600098
9/20/2016,BTCUSD,608.94,609.88,607.15,608.98,4275.58,2602065.54,6951600,,2111.72998
9/19/2016,BTCUSD,610.99,612.46,607.4,608.94,3011.09,1835075.42,6951600,,2107.389893
9/18/2016,BTCUSD,607.83,611.93,607.22,610.99,3099.56,1888621.18,6951600,,2120.790039
9/17/2016,BTCUSD,607.75,608.99,604,607.83,2874.48,1746050.77,6951600,,2123.47998
9/16/2016,BTCUSD,607.01,608.1,603.15,607.75,4232.67,2568415.72,6951600,,2104.199951
9/15/2016,BTCUSD,608.95,609.49,603.85,607.01,3809.3,2315135.76,6951600,,2126.060059
9/14/2016,BTCUSD,608.24,611.99,607.59,608.95,3746.32,2284331.22,6951600,,2130.820068
9/13/2016,BTCUSD,607.48,609.99,605.16,608.24,3853.46,2342874.14,6951600,,2125.850098
9/12/2016,BTCUSD,607.25,609.45,603,607.48,3922.28,2380333.51,6951600,,2127.830078
9/11/2016,BTCUSD,625.1,630.11,591.8,607.25,4323.03,2664770.82,6951600,,2129.199951
9/10/2016,BTCUSD,622.6,626.54,620.59,625.1,2734.98,1705058.58,6951600,,2122.72998
9/9/2016,BTCUSD,628.77,628.77,618.25,622.6,4453.85,2772916.5,6951600,,2121.100098
9/8/2016,BTCUSD,614.59,631.3,613.43,628.77,5252.72,3278225.35,6951600,,2098.47998
9/7/2016,BTCUSD,612.37,618.53,609.21,614.59,4593.72,2819296.64,6951600,,2099.120117
9/6/2016,BTCUSD,606.19,612.8,605.47,612.37,4143.07,2524594.99,6951600,,2105.330078
9/5/2016,BTCUSD,611.82,611.99,601.63,606.19,2988.3,1814485.21,6951600,,2116.100098
9/4/2016,BTCUSD,600.58,617.13,597.52,611.82,4608.39,2804791.32,6951600,,2088
9/3/2016,BTCUSD,575.38,600.99,574.67,600.58,4728.62,2763385.93,6951600,,2080.149902
9/2/2016,BTCUSD,571.96,577.97,570,575.38,4869.74,2795447.84,6951600,,2089.459961
9/1/2016,BTCUSD,571.59,573.32,568.12,571.96,5080.94,2902643.32,6951600,,2114.48999
8/31/2016,BTCUSD,574.79,575.15,569.21,571.59,4385.72,2510270.46,6951600,,2108.290039
8/30/2016,BTCUSD,573,576.83,572.53,574.79,4160.45,2391387.06,6951600,,2085.51001
